"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Carrinho","0","0","Adicionar um produto enche o carrinho","0"
"0","","0","Login","1","0","Credenciais válidas levam ao catálogo","0"
"0","","0","Login","2","0","Credenciais rejeitadas exibem mensagem de erro","0"
"0","","4","Catálogo","0","0","Ordenação do catálogo","0"
"0","","0","Login","1","0","Login sem senha exige a senha","0"
"0","","1","Carrinho","0","0","Carrinho vazio leva de volta às compras","0"
"0","","1","Carrinho","0","0","Remover o único item esvazia o carrinho","0"
"1","","0","Checkout","0","0","Cartão inválido bloqueia o pagamento","0"
"0","","1","Carrinho","0","0","Adicionar dois produtos diferentes ao carrinho","0"
"0","","0","Login","1","0","Login sem credenciais exige o usuário","0"
"1","","0","Detalhes do produto","0","0","Adicionar ao carrinho com quantidade maior que um","0"
"0","","1","Checkout","0","0","Checkout exige autenticação","0"
"1","","0","Detalhes do produto","0","0","Contador de quantidade aumenta e diminui","0"
"0","","0","Checkout","1","0","Compra completa de ponta a ponta","0"
"0","","1","Catálogo","0","0","Detalhes do produto exibem preço e adicionar ao carrinho","0"
"0","","0","Login","1","0","Logout encerra a sessão","0"
"0","","1","Catálogo","0","0","Catálogo lista produtos ao abrir o app","0"
